COLLEGE CODE,COLLEGE NAME,BRANCH CODE,BRANCH NAME,OC,BC,BCM,MBCV,MBCDNC,MBC,SC,SCA,ST
2006,"PSG College of Technology (Autonomous), Peelamedu,
Coimbatore District 641004",ES,"ELECTRICAL AND ELECTRONICS
(SANDWICH) (SS)",176.48,176.10,,,,,,,
2006,"PSG College of Technology (Autonomous), Peelamedu,
Coimbatore District 641004",FY,FASHION TECHNOLOGY (SS),173.38,169.67,,,,,,,
2006,"PSG College of Technology (Autonomous), Peelamedu,
Coimbatore District 641004",IM,INFORMATION TECHNOLOGY (SS),187.15,184.48,,,,,,,
2006,"PSG College of Technology (Autonomous), Peelamedu,
Coimbatore District 641004",IY,"INSTRUMENTATION AND CONTROL ENGINEERING
(SS)",185.18,,,,,,,,
2006,"PSG College of Technology (Autonomous), Peelamedu,
Coimbatore District 641004",ME,MECHANICAL ENGINEERING,,,,,,,182.34,,
2006,"PSG College of Technology (Autonomous), Peelamedu,
Coimbatore District 641004",MF,MECHANICAL ENGINEERING (SS),185.34,183.42,,,,,,,
2006,"PSG College of Technology (Autonomous), Peelamedu,
Coimbatore District 641004",MS,MECHANICAL ENGINEERING (SANDWICH) (SS),,181.12,,,,,,,
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore
District 641004",MT,METALLURGICAL ENGINEERING,,179.07,,,,,,,
2006,"PSG College of Technology
(Autonomous), Peelamedu, Coimbatore District 641004",RA,ROBOTICS AND AUTOMATION (SS),,,153.59,,,,,,
2006,"PSG College of Technology
(Autonomous), Peelamedu, Coimbatore District 641004",TX,TEXTILE TECHNOLOGY,168.25,,,,,,,,
2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post,
Coimbatore District 641014",AT,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),,182.85,,,,,,,
2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post,
Coimbatore District 641014",CE,CIVIL  ENGINEERING,,171.87,,,,,,,
2007,"Coimbatore Institute of Technology
(Autonomous), Civil Aerodrome Post, Coimbatore District 641014",CH,CHEMICAL  ENGINEERING,171.47,,,,,,,,
2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post,
Coimbatore District 641014",CM,COMPUTER SCIENCE AND ENGINEERING (SS),185.97,183.25,,,,,,,
2007,"Coimbatore Institute of Technology
(Autonomous), Civil Aerodrome Post, Coimbatore District 641014",CS,COMPUTER SCIENCE AND ENGINEERING,,,,,175.25,,,,
2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post,
Coimbatore District 641014",EC,"ELECTRONICS AND
COMMUNICATION ENGINEERING",,,,,,,169.01,,
2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post,
Coimbatore District 641014",EE,"ELECTRICAL AND
ELECTRONICS ENGINEERING",,,,154.62,,,,,
2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post,
Coimbatore District 641014",EM,"ELECTRONICS AND COMMUNICATION
ENGINEERING (SS)",181.09,180.23,,,,,,,
2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post,
Coimbatore District 641014",IM,INFORMATION TECHNOLOGY (SS),,,174.95,,,,,,150.37
