COLLEGE NAME,BRANCH NAME,MAX CUTOFF
Easwari Engineering College (Autonomous) Ramapuram  Chennai 600089,INFORMATION TECHNOLOGY,164.0
"Government College of Engineering
Tirunelveli District 627007",CIVIL  ENGINEERING,164.0
"Government College of Engineering Srirangam  Sethurappatti  Tiruchirappalli
District 620012","ELECTRONICS AND COMMUNICATION
ENGINEERING",164.0
"Sri Sivasubramaniya Nadar College of Engineering (Autonomous)  Kalavakkam  Old Mahabalipuram Road (OMR)  Chengalpattu
District 603110",CIVIL  ENGINEERING,163.5
"Chennai Institute of Technology (Autonomous) Puduper Village Nandambakkam Post  Kundrathur  Chennai
600069",MECHANICAL ENGINEERING,163.5
Central Institute of Petrochemicals Engineering and Technology (Formerly Central Institute of Plastics Engineering and Technology) (CIPET)  Guindy  Chennai 600032,MANUFACTURING ENGINEERING,163.5
"Kumaraguru College of Technology (Autonomous)  Chinnavedampatti Post
Coimbatore District 641006",CIVIL  ENGINEERING,163.5
Builders Engineering college  Nathakadaiyur Erode Road  Palayakottai Village  Kangeyam Tiruppur District 638108,COMPUTER SCIENCE AND ENGINEERING,163.5
"SRM Valliammai Engineering College
(Autonomous)  Kattankulathur  Chennai 603203",ELECTRICAL AND ELECTRONICS ENGINEERING,163.5
"Dr. Mahalingam College of  Engineering and Technology (Autonomous) Mackinaickenpatti Post  Pollachi Taluk
Coimbatore District 642003",MECHANICAL ENGINEERING,163.0
"Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai
District 625015",INFORMATION TECHNOLOGY (SS),163.0
"Thiagarajar College of Engineering
(Autonomous) Tirupparankundram  Madurai District 625015",ELECTRICAL AND ELECTRONICS ENGINEERING (SS),163.0
"Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post
Coimbatore District 641014",INFORMATION TECHNOLOGY (SS),163.0
"Government College of Technology
(Autonomous)  Thadagam Road  Coimbatore District 641013",ELECTRICAL AND ELECTRONICS ENGINEERING,163.0
"Mahendra Engineering College (Autonomous)  Mahendhirapuri
Mallasamudram  Namakkal District 637503",Mechatronics Engineering,163.0
Alagappa Chettair Government College of Engineering and Technology (Autonomous) Karaikudi  Sivagangai District 630004,COMPUTER SCIENCE AND ENGINEERING,163.0
"University Departments of Anna University Chennai - MIT Campus  Chrompet Tambaram Taluk  Chengalpattu District 600
044",AUTOMOBILE ENGINEERING,163.0
"Government College of Engineering (Autonomous)  Bargur  Krishnagiri District
635104",MECHANICAL ENGINEERING,162.5
"Kumaraguru College of Technology
(Autonomous)  Chinnavedampatti Post Coimbatore District 641006",TEXTILE TECHNOLOGY,162.5
"Nehru Institute of Engineering and Technology  Thirumalayampalayam Post
Coimbatore District 641105",AERONAUTICAL ENGINEERING,162.5
"Loyola ICAM College of Engineering and Technology  Loyola College Campus
Nungambakkam  Chennai 600034",INFORMATION TECHNOLOGY,162.5
"Government College of Engineering
(Autonomous)  Karuppur  Salem District 636011",MECHANICAL ENGINEERING,162.5
"Mahendra College of Engineering  Attur Road
Minnampalli  Valapady  Salem District 636106",ELECTRICAL AND ELECTRONICS ENGINEERING,162.5
"Bannari Amman Institute of Technology (Autonomous)  Sathyamanagalam  Erode
District  638401",INFORMATION TECHNOLOGY,162.0
"Thamirabharani Engineering College
Chathirampudukulam Village  Thatchanallur Tirunelveli District 627358",ELECTRICAL AND ELECTRONICS ENGINEERING,162.0
"Government College of Engineering (Autonomous)  Bargur  Krishnagiri District
635104",COMPUTER SCIENCE AND ENGINEERING,162.0
"Government College of Engineering
Tirunelveli District 627007",MECHANICAL ENGINEERING,161.5
"CARE College of Engineering   Thayanoor Village  Kuttappatti  Srirangam Taluk
Tiruchirappalli District 620009",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,161.5
"University College of Engineering  Nagercoil
Nagercoil Industrial Estate  Konam Kanyakumari District 629004","ELECTRONICS AND
COMMUNICATION ENGINEERING",161.5
"K L N College of Engineering (Autonomous)
Pottapalayam  Sivagangai District 630611",INFORMATION TECHNOLOGY,161.5
"Bethlahem Institute of Engineering  Karungal
Kanyakumari District 629157","ELECTRICAL AND ELECTRONICS
ENGINEERING",161.0
"Anna University Regional Campus - Madurai
Kanyakumari National Highway Keelakuilkudi  Madurai District 625019",COMPUTER SCIENCE AND ENGINEERING,161.0
"Sri Krishna College of Technology
(Autonomous)   Kovaipudur Post  Coimbatore District 641042",INFORMATION TECHNOLOGY,161.0
"Government College of Engineering (Autonomous)  Karuppur  Salem District
636011",CIVIL  ENGINEERING,161.0
"University Departments of Anna University
Chennai - CEG Campus  Sardar Patel Road Guindy  Chennai 600 025",BIO MEDICAL ENGINEERING (SS),161.0
"Sri Krishna College of Technology (Autonomous)   Kovaipudur Post  Coimbatore
District 641042",ELECTRICAL AND ELECTRONICS ENGINEERING,161.0
Kongu Engineering College (Autonomous) Perundurai  Erode District 638052,"ELECTRONICS AND COMMUNICATION
ENGINEERING",160.5
"Anna University Regional Campus - Coimbatore  Maruthamalai Main Road Navavoor Bharathiyar University Post Somayampalayam  Coimbatore District
641046",MECHANICAL ENGINEERING,160.5
"Loyola ICAM College of Engineering and Technology  Loyola College Campus
Nungambakkam  Chennai 600034",MECHANICAL ENGINEERING,160.5
"Government College of Engineering
(Autonomous)  Karuppur  Salem District 636011","ELECTRONICS AND
COMMUNICATION ENGINEERING",160.5
"St. Joseph College of Engineering  Trinity Campus  Nemili  Sriperumpudur Taluk
Kancheepuram District 602105",COMPUTER SCIENCE AND ENGINEERING,160.5
"V S B College of Engineering Technical
Campus  Ealur Pirivu  Solavampalayam Post Coimbatore District 642109",COMPUTER SCIENCE AND ENGINEERING,160.5
