COLLEGE CODE,COLLEGE NAME,BRANCH CODE,RANCH NAME,OC,BC,BCM,MBC,SC,SCA,ST
1309,"Meenakshi Sundararajan Engineering College
Kodambakkam  Chennai 600024",CE,CIVIL  ENGINEERING,,,,,120,,
1309,Meenakshi Sundararajan Engineering College Kodambakkam  Chennai 600024,EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",166,,,,,,
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous)  Kalavakkam  Old Mahabalipuram Road (OMR)  Chengalpattu
District 603110",CE,CIVIL  ENGINEERING,,163.5,,,,,
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous)  Kalavakkam  Old Mahabalipuram Road (OMR)  Chengalpattu
District 603110",CH,CHEMICAL  ENGINEERING,,,,131,,,
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous)  Kalavakkam  Old Mahabalipuram Road (OMR)  Chengalpattu
District 603110",CJ,M.Tech. Computer Science and Engineering (Integrated 5 years),,174,,,,,
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous)  Kalavakkam  Old Mahabalipuram Road (OMR)  Chengalpattu
District 603110",CS,COMPUTER SCIENCE AND ENGINEERING,199,,,,,,
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous)  Kalavakkam  Old Mahabalipuram Road (OMR)  Chengalpattu
District 603110",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,172.5,,,,,,
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous)  Kalavakkam  Old Mahabalipuram Road (OMR)  Chengalpattu
District 603110",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,175.5,,,,,,
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous)  Kalavakkam  Old Mahabalipuram Road (OMR)  Chengalpattu
District 603110",IT,INFORMATION TECHNOLOGY,,,,157.5,145,,
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous)  Kalavakkam  Old Mahabalipuram Road (OMR)  Chengalpattu
District 603110",ME,MECHANICAL ENGINEERING,146,,,,,,
1317,"St. Joseph's College of Engineering (Autonomous)  Old Mahabalipuram Road
(OMR)  Chennai 600 119",ME,MECHANICAL ENGINEERING,131.5,,,131,,,
1321,Central Institute of Petrochemicals Engineering and Technology (Formerly Central Institute of Plastics Engineering and Technology) (CIPET)  Guindy  Chennai 600032,MN,MANUFACTURING ENGINEERING,,163.5,,,,,
1321,Central Institute of Petrochemicals Engineering and Technology (Formerly Central Institute of Plastics Engineering and Technology) (CIPET)  Guindy  Chennai 600032,PA,PLASTIC TECHNOLOGY,150.5,,,,,,
1325,"St. Joseph College of Engineering  Trinity Campus  Nemili  Sriperumpudur Taluk
Kancheepuram District 602105",CS,COMPUTER SCIENCE AND ENGINEERING,,,,,160.5,,
1325,"St. Joseph College of Engineering  Trinity
Campus  Nemili  Sriperumpudur Taluk Kancheepuram District 602105",ME,MECHANICAL ENGINEERING,175.5,,,,,,
1398,Chennai Institute of Technology and Applied Research    Sarathy Nagar  Puthuper Village Kundrathur   Chennai 600069,CS,COMPUTER SCIENCE AND ENGINEERING,124.5,,,,,,
1398,Chennai Institute of Technology and Applied Research    Sarathy Nagar  Puthuper Village Kundrathur   Chennai 600069,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,,,,,114,,
1398,Chennai Institute of Technology and Applied Research    Sarathy Nagar  Puthuper Village Kundrathur   Chennai 600069,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,,,116.5,,,,
1399,"Chennai Institute of Technology (Autonomous) Puduper Village Nandambakkam Post  Kundrathur  Chennai
600069",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,,,,127,,,
1399,"Chennai Institute of Technology (Autonomous) Puduper Village Nandambakkam Post  Kundrathur  Chennai
600069",AM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",,133,,,,,
1399,"Chennai Institute of Technology (Autonomous) Puduper Village Nandambakkam Post  Kundrathur  Chennai
600069",CS,COMPUTER SCIENCE AND ENGINEERING,,152,,150,,,
1399,"Chennai Institute of Technology (Autonomous) Puduper Village Nandambakkam Post  Kundrathur  Chennai
600069",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,,146,,,,,
1399,"Chennai Institute of Technology (Autonomous) Puduper Village Nandambakkam Post  Kundrathur  Chennai
600069",IT,INFORMATION TECHNOLOGY,,,,,122.5,,
1399,"Chennai Institute of Technology (Autonomous) Puduper Village Nandambakkam Post  Kundrathur  Chennai
600069",ME,MECHANICAL ENGINEERING,163.5,,,,,,
1399,"Chennai Institute of Technology (Autonomous) Puduper Village Nandambakkam Post  Kundrathur  Chennai
600069",MZ,Mechatronics Engineering,139.5,,,,,,
1401,"Adhiparasakthi Engineering College Melmaruvathur  Chengalpattu District
603319",CS,COMPUTER SCIENCE AND ENGINEERING,,,,132,,,
1401,"Adhiparasakthi Engineering College Melmaruvathur  Chengalpattu District
603319",ME,MECHANICAL ENGINEERING,120.5,,,,,,
1408,"I F E T College of Engineering  (Autonomous)
Gangarampalayam  Villupuram District 605108",CS,COMPUTER SCIENCE AND ENGINEERING,,,,,150,,
1412,Mailam Engineering College  Mailam Villupuram District 604304,EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",137.5,,,,,,
1414,"Prince Shri Venkateshwara  Padmavathy
Engineering College  (Autonomous) Ponmar Chennai 600048",CS,COMPUTER SCIENCE AND ENGINEERING,,,,176.5,,,
1414,"Prince Shri Venkateshwara  Padmavathy
Engineering College  (Autonomous) Ponmar Chennai 600048",IT,INFORMATION TECHNOLOGY,147.5,,,,,,
1419,Sri Sai Ram Enginering College (Autonomous) West Tambaram  Chennai 600044,MU,MECHANICAL AND AUTOMATION ENGINEERING,127.5,,,,,,
1421,V R S College of Engineering and Technology Arasur  Villupuram District 607107,CS,COMPUTER SCIENCE AND ENGINEERING,116.5,,,,,,
1421,V R S College of Engineering and Technology Arasur  Villupuram District 607107,ME,MECHANICAL ENGINEERING,131,,,,,,
1422,"SRM Valliammai Engineering College (Autonomous)  Kattankulathur  Chennai
603203",CS,COMPUTER SCIENCE AND ENGINEERING,,143,,125,,,
1422,"SRM Valliammai Engineering College
(Autonomous)  Kattankulathur  Chennai 603203",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,,163.5,,,,,
1422,"SRM Valliammai Engineering College (Autonomous)  Kattankulathur  Chennai
603203",EI,"ELECTRONICS AND INSTRUMENTATION
ENGINEERING",124,,,,,,
1430,"Maha Bharathi Engineering College  A Vasudevanur  Chinnasalem  Kallakurichi
District 606201",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",,,,138,,,
1430,"Maha Bharathi Engineering College  A Vasudevanur  Chinnasalem  Kallakurichi
District 606201",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,127,,,,,,
1437,"Rrase College of Engineering  Padappai
Kancheepuram  601301",CS,"COMPUTER SCIENCE AND
ENGINEERING",128,,,,,,
1437,Rrase College of Engineering  Padappai Kancheepuram  601301,EC,"ELECTRONICS AND
COMMUNICATION ENGINEERING",131,,,,,,
1437,"Rrase College of Engineering  Padappai
Kancheepuram  601301",IT,INFORMATION TECHNOLOGY,,,,109.5,,,
1441,"A K T Memorial College of Engineering and Technology  Neelamangalam Village
Kallakurichi District 606202",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,,106,,,,,
1441,"A K T Memorial College of Engineering and
Technology  Neelamangalam Village Kallakurichi District 606202",IT,INFORMATION TECHNOLOGY,130,,,,,,
1441,"A K T Memorial College of Engineering and
Technology  Neelamangalam Village Kallakurichi District 606202",ME,MECHANICAL ENGINEERING,112.5,,,,,,
1442,Prince Dr. K Vasudevan College of Engineering and Technology  Medavakkam- Mambakkam Road  Ponmar  Chennai 600127,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,166,,,,,,
1442,Prince Dr. K Vasudevan College of Engineering and Technology  Medavakkam- Mambakkam Road  Ponmar  Chennai 600127,SC,Computer Science and Engineering (Cyber Security),,113,,,,,
1450,"Loyola ICAM College of Engineering and
Technology  Loyola College Campus Nungambakkam  Chennai 600034",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,,,,,133.5,,
1450,"Loyola ICAM College of Engineering and Technology  Loyola College Campus
Nungambakkam  Chennai 600034",IT,INFORMATION TECHNOLOGY,162.5,,,,,,
1450,"Loyola ICAM College of Engineering and Technology  Loyola College Campus
Nungambakkam  Chennai 600034",ME,MECHANICAL ENGINEERING,,,,160.5,,,
1507,Ganadipathy Tulsiï¿½s Jain Engineering College  Kaniyambadi  Vellore District 632102,EC,"ELECTRONICS AND
COMMUNICATION ENGINEERING",122.5,,,,,,
1509,"Meenakshi College of Engineering
Vembuliamman Koil Street  K K Nagar (West) Chennai 600078",CS,COMPUTER SCIENCE AND ENGINEERING,,,,158.5,,,
1510,"Priyadarshini Engineering College
Vaniyambadi Post  Thiruppattur District 635751",CE,CIVIL  ENGINEERING,130.5,,,,,,
