COLLEGE CODE,COLLEGE NAME,BRANCH CODE,BRANCH NAME,OC,BC,BCM,MBC,SC,SCA,ST
3908,"Mount Zion College of Engineering and Technology, Pilivalam Post, Pudukkottai District
622507",CS,Computer Science and Engineering,105,,,,,,
3926,CHENDURAN COLLEGE OF ENGINEERING THIRUMAYAM PUDUKOTTAI - 622507,EE,Electrical and Electronics Engineering,104.5,,,,,,
4669,"Thamirabharani Engineering College, Chathirampudukulam Village, Thatchanallur,
Tirunelveli District 625358",CS,Computer Science and Engineering,,140.5,,,,,
4669,"Thamirabharani Engineering College, Chathirampudukulam Village, Thatchanallur,
Tirunelveli District 625358",EC,Electronics and Communication Engineering,,,,128,,,
4669,"Thamirabharani Engineering College,
Chathirampudukulam Village, Thatchanallur, Tirunelveli District 625358",EE,Electrical and Electronics Engineering,,,,139,,,
4669,"Thamirabharani Engineering College, Chathirampudukulam Village, Thatchanallur,
Tirunelveli District 625358",ME,Mechanical Engineering,140,,,,,,
4670,"Rohini College of Engineering & Technology, Anjugramam-Kanyakumari Main Road, Palkulam, Variyoor Post, Kanyakumari District
629401",CE,Civil Engineering,104,,,,,,
4670,"Rohini College of Engineering & Technology, Anjugramam-Kanyakumari Main Road, Palkulam, Variyoor Post, Kanyakumari District
629401",EC,Electronics and Communication Engineering,127.5,123,,,,,
4670,"Rohini College of Engineering & Technology, Anjugramam-Kanyakumari Main Road, Palkulam, Variyoor Post, Kanyakumari District
629401",EE,Electrical and Electronics Engineering,,122,,,,,
4670,"Rohini College of Engineering & Technology, Anjugramam-Kanyakumari Main Road, Palkulam, Variyoor Post, Kanyakumari District
629401",ME,Mechanical Engineering,135.5,127,,,120,,
4672,"Stella Marys College of Engineering, Arunthengan Vilai, Azhikal Post, Kanyakumari
District 629202",CE,Civil Engineering,,116,,126.5,,,
4672,"Stella Marys College of Engineering, Arunthengan Vilai, Azhikal Post, Kanyakumari
District 629202",CS,Computer Science and Engineering,155.5,,,,,,
4672,"Stella Marys College of Engineering, Arunthengan Vilai, Azhikal Post, Kanyakumari
District 629202",EC,Electronics and Communication Engineering,,112.5,,,,,
4672,"Stella Marys College of Engineering, Arunthengan Vilai, Azhikal Post, Kanyakumari
District 629202",EE,Electrical and Electronics Engineering,,,,144,,,
4672,"Stella Marys College of Engineering, Arunthengan Vilai, Azhikal Post, Kanyakumari
District 629202",ME,Mechanical Engineering,158.5,,,,117,,
4675,"Universal College of Engineering and Technology, Anbagam Campus, Radhapuram
Road, Vallioor, Tirunelveli District 627117",ME,Mechanical Engineering,,,,135.5,,,
4676,"Renganayagi Varatharaj College of Engineering, Salvarpatti, Sivakasi, Virudhunagar District
626128",CS,Computer Science and Engineering,101,,,,,,
4680,"AAA College of Engineering and Technology,
Kamarajar Educational Road, Amathur Village, Sivakasi, Virudhunagar District 626005",CE,Civil Engineering,102,,,,,,
4680,"AAA College of Engineering and Technology, Kamarajar Educational Road, Amathur Village,
Sivakasi, Virudhunagar District 626005",EE,Electrical and Electronics Engineering,,,,128,,,
4680,"AAA College of Engineering and Technology,
Kamarajar Educational Road, Amathur Village, Sivakasi, Virudhunagar District 626005",ME,Mechanical Engineering,110,,,,,,
4686,"GOOD SHEPHERD COLLEGE OF ENGINEERING AND TECHNOLOGY, MARUTHAMPARAI,
KANYAKUMARI",ME,Mechanical Engineering,121,115.5,,,,,
4864,"V V College of Engineering, Arasoor Village, Idaichivilai Post, Santhakulam Taluk,
Thoothukudi District 628656",ME,Mechanical Engineering,120,,,,,,
4917,"Sethu Institute of Technology (Autonomous), Kariapatti Post, Virudhunagar District 626106",CB,Computer Science and Business System,124.5,,,,,,
4917,"Sethu Institute of Technology (Autonomous), Kariapatti Post, Virudhunagar District 626106",CE,Civil Engineering,118,,,,,,
4917,"Sethu Institute of Technology (Autonomous), Kariapatti Post, Virudhunagar District 626106",CS,Computer Science and Engineering,136,125.5,,,,,
4917,"Sethu Institute of Technology (Autonomous), Kariapatti Post, Virudhunagar District 626106",EC,Electronics and Communication Engineering,141.5,121,,,,,
4917,"Sethu Institute of Technology (Autonomous), Kariapatti Post, Virudhunagar District 626106",EE,Electrical and Electronics Engineering,123.5,115,,,,,
4917,"Sethu Institute of Technology (Autonomous), Kariapatti Post, Virudhunagar District 626106",ME,Mechanical Engineering,129,,,,107,,
4928,"MAR Ephraem College of Engineering & Technology, Malankara Hills, Elavuvillai,
Marthandam, Kanyakumari District 629171",CS,Computer Science and Engineering,133,116,,,,,
4928,"MAR Ephraem College of Engineering & Technology, Malankara Hills, Elavuvillai,
Marthandam, Kanyakumari District 629171",ME,Mechanical Engineering,122.5,,,,,,
4929,"M E T Engineering College, Mogals Garden, Thovalai Village, Aralvaimozhi Town Panchayat, Thovalai, Kanyakumari District 629304",CE,Civil Engineering,132,112.5,,,,,
